id;reference;booking_reference;raised_by;raised_by_login;professional_ref;reason;status;raised_at;due_by;resolution;resolved_by;resolved_at;refund_minor;currency
1;thorough apt;usher;PROFESSIONAL;lean cloudy;freely ugh;hence bah;REJECTED;2026-08-25T04:32:25;2026-08-25T07:04:11;drat;rebuke hence or;2026-08-25T09:55:14;24328;whi
2;yippee underneath colorfully;alligator;CUSTOMER;oof or;scare;so;UNDER_REVIEW;2026-08-25T09:36:30;2026-08-24T22:38:37;although vague;cinema until yuck;2026-08-25T13:29:56;21;er
3;yesterday probe finally;perky notwithstanding unto;PROFESSIONAL;between;fortunately zowie;knowledgeably lest;OPEN;2026-08-25T07:37:22;2026-08-25T14:04:39;up;sharply;2026-08-25T01:27:37;6399;ind
4;fence reprove excluding;down dream classic;PROFESSIONAL;if sheepishly friendly;alongside;commonly once jovially;OPEN;2026-08-25T13:48:37;2026-08-24T20:49:31;ick above;boo;2026-08-24T23:43:02;23448;meh
5;huzzah;oof;CUSTOMER;decisive giving;swordfish unbearably;hunger mmm;UNDER_REVIEW;2026-08-25T05:17:17;2026-08-25T17:51:57;psst bare mobilise;truthfully because;2026-08-25T01:47:08;27661;but
6;irritably;gosh duh;PLATFORM;phew;openly about sticky;lest;RESOLVED;2026-08-24T20:43:24;2026-08-25T04:00:03;uh-huh;next whoever unto;2026-08-25T08:10:00;3740;sti
7;alligator;dimly below shrilly;PLATFORM;huzzah;adrenalin hierarchy;minister;OPEN;2026-08-25T02:56:27;2026-08-24T20:43:44;yum partially;lest obligation apropos;2026-08-25T12:59:57;15391;maj
8;draw;lively;PLATFORM;stitcher sad;smuggle;soft that;REJECTED;2026-08-25T07:33:52;2026-08-25T00:07:30;beautifully captain soon;inasmuch awkwardly pigpen;2026-08-25T14:16:15;26690;gru
9;as;yum;PROFESSIONAL;likewise;govern positively;respectful;REJECTED;2026-08-25T03:14:25;2026-08-25T17:18:05;um neck;now how;2026-08-24T22:33:06;21476;mmm
10;swift bah fairly;regularly;PROFESSIONAL;beneath consequently gosh;jiggle;foodstuffs whether kiss;REJECTED;2026-08-24T23:01:05;2026-08-25T13:10:30;underpants;blushing till;2026-08-25T05:05:05;11702;alo
11;than behind celsius;toward;PLATFORM;since;embalm creative;generally yieldingly underpants;RESOLVED;2026-08-25T16:41:25;2026-08-25T13:45:32;amidst incidentally;blah;2026-08-25T02:03:31;11530;str
12;upon hmph;typeface;PLATFORM;squid;implode;deed;REJECTED;2026-08-25T15:14:58;2026-08-24T23:46:14;qua;battle;2026-08-25T02:25:20;11154;som
13;shark unless quaff;eternity amidst verify;PLATFORM;sunbathe deliberately;frantically along;wiggly while minus;REJECTED;2026-08-25T16:22:00;2026-08-25T02:57:03;during atop;brr regularly;2026-08-25T12:59:52;20978;bes
14;fumigate slide mostly;pro memorise crowded;PLATFORM;bitterly gently;premier meanwhile muddy;gosh goat incidentally;RESOLVED;2026-08-25T12:32:55;2026-08-25T10:52:33;worth foolish oof;unnecessarily greedily;2026-08-25T03:06:27;25472;whi
15;aha recommendation;at gnaw;PROFESSIONAL;hoick;doubtfully;woot ha;REJECTED;2026-08-25T13:33:32;2026-08-25T12:10:27;mobility ouch;bloom yesterday whoa;2026-08-24T21:05:57;17181;rev
16;till yet yum;mmm spew;CUSTOMER;who pack;imaginative interestingly defiantly;among in under;OPEN;2026-08-25T16:24:56;2026-08-25T11:07:28;overcharge creamy;geez;2026-08-24T23:42:46;20954;lik
17;obediently;moment bah downright;PROFESSIONAL;inside;oddly;meaty spork;OPEN;2026-08-25T19:10:12;2026-08-25T06:18:35;represent;wherever;2026-08-24T21:38:43;24125;as 
