id;reference;decision;reviewer;reviewed_at;evidence_ref;note;professional_id
1;after spear sell;UNVERIFIED;inwardly settler;2026-08-30T06:54:02;er small curiously;swordfish swine;1
2;commercial;SUSPENDED;inside throughout finding;2026-08-30T05:24:07;monthly why;huzzah eulogise;2
3;yearly from council;PENDING;that;2026-08-30T21:16:46;short-term;ill-fated neatly amongst;3
4;guide for;PENDING;cleverly;2026-08-30T22:36:00;instantly quinoa loudly;fidget dreamily powerfully;4
5;for consequently;VERIFIED;oh consequently since;2026-08-30T15:38:59;apud once;fold consequently;5
6;since geez besmirch;SUSPENDED;lest;2026-08-30T23:41:46;huzzah next;until vet;6
7;exalted fireplace boohoo;SUSPENDED;so fooey compassionate;2026-08-30T03:11:29;for;alongside careless nor;7
8;notwithstanding skyscraper reasonable;UNVERIFIED;but overvalue ski;2026-08-30T17:21:35;anxiously catalyst;eyeliner mortar;8
9;behind morning diligently;SUSPENDED;victoriously crank;2026-08-30T07:38:12;an;sinful swordfish brochure;9
10;above kindly intellect;SUSPENDED;paltry;2026-08-30T04:18:28;lightly helplessly apt;phooey turret yellow;10
11;interviewer kissingly;SUSPENDED;anaesthetise duh;2026-08-30T17:42:53;opposite unsung interestingly;how;11
12;ghost greatly very;SUSPENDED;futon eek intermesh;2026-08-30T19:31:10;yuck obnoxiously;busily;12
13;recede onto irritably;VERIFIED;pantyhose zowie;2026-08-30T08:10:54;fuss speedily;since coordination;13
14;exterior besides list;UNVERIFIED;oval via phew;2026-08-31T02:19:27;instead;somber;14
15;brochure actually overcharge;PENDING;upside-down carboxyl yet;2026-08-31T01:37:53;dredger metallic;beyond bump;15
16;testing;UNVERIFIED;creaking above close;2026-08-31T01:49:11;hourly overplay grave;stabilise;16
17;deflate;SUSPENDED;cheerful delirious fervently;2026-08-30T10:13:26;refute;excited stratify however;17
18;sedately unsung zowie;UNVERIFIED;yuck oval when;2026-08-30T10:02:51;communicate perfectly;minister;18
19;utterly afore thoughtfully;VERIFIED;accidentally slather gummy;2026-08-30T02:49:37;hence stoop;recount sheepishly;19
20;sign ack wrongly;SUSPENDED;once anenst;2026-08-30T02:55:21;lovingly corner greedily;until log;20
21;serialize;UNVERIFIED;monasticism keel defensive;2026-08-30T17:12:31;necklace incidentally planula;drat;21
22;though;SUSPENDED;grandiose intently store;2026-08-30T14:09:12;dredger;afore wretched;22
23;that rightfully;UNVERIFIED;ack;2026-08-31T01:25:43;given scuffle till;oof delight;23
24;veto;SUSPENDED;publicity supposing ravioli;2026-08-30T12:41:50;opera;abnegate;24
25;edge hoot;UNVERIFIED;promptly once;2026-08-30T15:47:53;unethically never;massage usable boom;25
26;via gosh red;SUSPENDED;other;2026-08-30T03:55:38;ha yowza rationalize;onto phony;26
27;hastily;VERIFIED;pfft;2026-08-30T15:18:47;phew;palatable after deceivingly;27
28;where;PENDING;since adjourn blond;2026-08-30T18:44:30;importance unless goodwill;bungalow;28
29;thunderbolt;SUSPENDED;why;2026-08-30T17:50:13;profuse;irk;29
30;er see youthful;UNVERIFIED;below venture;2026-08-30T03:56:08;round devastation;brr;30
