id;from_status;to_status;actor;occurred_at;note;booking_id
1;COMPLETED;CANCELLED;wetly dash;2023-12-09T00:42:01;yum;1
2;CONFIRMED;NO_SHOW;though scaffold;2023-12-08T23:32:40;tinderbox ribbon;2
3;REQUESTED;RESCHEDULE_PROPOSED;than;2023-12-09T04:19:03;knowingly leading;3
4;DECLINED;NO_SHOW;why before;2023-12-08T13:54:34;loyally inspection;4
5;RESCHEDULE_PROPOSED;CANCELLED;ha courageously;2023-12-09T03:50:19;duh equatorial insert;5
6;REQUESTED;COMPLETED;about;2023-12-08T19:48:00;farm;6
7;DECLINED;RESCHEDULE_PROPOSED;drat duh;2023-12-09T03:00:45;upright and lest;7
8;NO_SHOW;DECLINED;editor until;2023-12-08T11:20:34;questionably lest;8
9;CANCELLED;CONFIRMED;yum whoa wee;2023-12-08T18:11:01;busily scoop ingratiate;9
10;DECLINED;DECLINED;geez;2023-12-09T05:10:59;weep;10
11;RESCHEDULE_PROPOSED;NO_SHOW;bowling;2023-12-09T03:59:41;so follower;11
12;REQUESTED;NO_SHOW;an;2023-12-09T05:14:10;considering never;12
13;DECLINED;RESCHEDULE_PROPOSED;warmhearted next;2023-12-08T22:37:58;hunger classic revere;13
14;CANCELLED;DECLINED;trek boo;2023-12-09T00:08:37;inside;14
15;REQUESTED;NO_SHOW;rapidly symbolise now;2023-12-08T16:01:33;engage farmer yahoo;15
16;RESCHEDULE_PROPOSED;REQUESTED;repeatedly heartbeat;2023-12-09T01:00:09;annex drat;16
17;CANCELLED;RESCHEDULE_PROPOSED;aside below ascribe;2023-12-09T02:49:07;blah which yuck;17
18;NO_SHOW;RESCHEDULE_PROPOSED;soulful now stylish;2023-12-08T15:49:43;optimistic;18
19;DECLINED;CONFIRMED;whitewash;2023-12-08T13:26:04;rosy;19
20;CANCELLED;NO_SHOW;yowza quietly;2023-12-09T00:30:46;boohoo propound;20
21;CANCELLED;CANCELLED;unusual hm gripping;2023-12-08T14:42:02;until;21
22;REQUESTED;NO_SHOW;without a ah;2023-12-09T08:04:21;knight;22
23;DECLINED;CANCELLED;brr;2023-12-08T16:51:34;weighty;23
24;CANCELLED;REQUESTED;longingly quash;2023-12-09T09:44:30;juggernaut;24
25;DECLINED;RESCHEDULE_PROPOSED;er paintwork;2023-12-09T10:40:57;briefly rag;25
26;NO_SHOW;REQUESTED;how austere;2023-12-09T09:21:56;whether yieldingly graft;26
27;RESCHEDULE_PROPOSED;CANCELLED;and;2023-12-09T04:06:32;scientific kiss ill;27
28;CONFIRMED;CANCELLED;at;2023-12-09T05:13:35;integer plus confound;28
29;CANCELLED;REQUESTED;ripe since;2023-12-08T15:43:04;ouch lender;29
30;RESCHEDULE_PROPOSED;COMPLETED;inasmuch once except;2023-12-08T22:27:58;duh yippee;30
